index,exact_value,exact_gap,exact_makespan,exact_total_cost,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_cmax,gns_cost,gns_computing_time,gns_device_used,error
174,3776.08,0.0,7954,1426,optimal,5.66,2,32,28,3797.68,8014.0,1426.0,0.73,cpu,0.57
175,5090.78,0.0,6338,3296,optimal,30.48,2,32,28,5146.26,6218.0,3604.0,0.66,cpu,1.09
161,5231.76,0.0,5941,3855,optimal,5.83,2,32,28,5703.14,5101.0,6872.0,0.21,cpu,9.01
177,5673.22,0.16,8351,4032,feasible,120.09,2,32,28,5696.02,8411.0,4032.0,0.64,cpu,0.4
163,4671.9,0.0,6570,2352,optimal,9.44,2,32,28,5124.6,7830.0,1818.0,1.25,cpu,9.69
188,6130.2,0.0,6840,1770,optimal,0.73,2,32,28,6391.44,6840.0,3636.0,0.18,cpu,4.26
200,4474.8,0.0,5228,3076,optimal,6.41,2,32,28,4727.55,4688.0,4801.0,0.32,cpu,5.65
189,5127.26,0.0,5089,8915,optimal,0.65,2,32,28,5127.26,5089.0,8915.0,0.22,cpu,0.0
162,1861.6,0.34,7160,0,feasible,120.08,2,32,28,1877.2,7220.0,0.0,0.83,cpu,0.84
176,4637.87,0.0,4020,5527,optimal,1.55,2,32,28,4637.87,4020.0,5527.0,0.18,cpu,0.0
